building_name,device_id,community,device_no,model,serial,routeros_version,management_ip,management_port,management_url,circuit_no,bandwidth,uptime,checked_at,class_name,form_id
棋琴20重奏_1,235,棋琴20重奏,shinnan-606_1,RB750Gr3,CC220DC9B5D0,6.49.13,122.117.49.117,9000,http://122.117.49.117:9000/,7611Y013264,300M/300M,194天 03:26:26,115/05/17 19:04:01,SF_1,235
明園,239,明園,shinnan-299,RB750Gr3,D5030E5BAF75,6.49.10,59.127.28.84,9000,http://59.127.28.84:9000/,6Y163289,300M/300M,195天 00:44:06,115/05/17 19:04:01,SF_1,239
泰國大樓,102,泰國大樓,shinnan-157,RB450Gx4,HD508BNT6DY,6.49.18,220.134.144.153,9000,http://220.134.144.153:9000/,6Y351720,500M/500M,195天 04:26:25,115/05/17 19:04:01,SF_1,102
大時代,30,大時代,shinnan-034,RB450Gx4,E1D80F9DF403,6.49.18,122.117.201.30,9000,http://122.117.201.30:9000/,6Y165115,500M/500M,195天 22:45:03,115/05/17 19:04:01,SF_1,30
太子雲端,25,太子雲端,shinnan-246,RB450Gx4,B8D00AA4B9B4,6.49.18,125.228.225.171,9000,http://125.228.225.171:9000/,6Y379270,500M/500M,202天 05:56:20,115/05/17 19:04:01,SF_1,25
國城MRT,37,國城MRT,shinnan-771,RB750Gr3,C55D0BCFB4AB,6.46.7,220.135.131.212,9000,http://220.135.131.212:9000/,72Y508588,300M/300M,210天 13:26:11,115/05/17 19:04:01,SF_1,37
悅讀ABC,342,悅讀ABC,shinnan-764,RB450Gx4,HFA093HTRVP,6.49.13,220.134.182.152,9000,http://220.134.182.152:9000/,77Y124592,500M/500M,213天 09:00:15,115/05/17 19:04:01,SF_1,342
荷必館,36,荷必館,shinnan-755,RB450Gx4,E1D80FA21565,6.49.13,220.133.182.149,9000,http://220.133.182.149:9000/,72Y375607,500M/500M,213天 21:12:32,115/05/17 19:04:01,SF_1,36
晶悅首發,351,晶悅首發,shinnan-311,RB450Gx4,HEE08HQ5JE6,6.49.13,114.33.160.192,9000,http://114.33.160.192:9000/,6Y450377,500M/500M,214天 07:27:57,115/05/17 19:04:01,SF_1,351
吉松頂園,67,吉松頂園,shinnan-799,RB750Gr3,D5030EA86862,6.49.13,220.134.182.97,9000,http://220.134.182.97:9000/,77Y114571,300M/300M,221天 22:48:26,115/05/17 19:04:01,SF_1,67
帝凡內,142,帝凡內,shinnan-266,RB450Gx4,E1D80FBBBCF7,6.49.10,220.135.188.123,9000,http://220.135.188.123:9000/,6Y400142,300M/300M,221天 23:01:48,115/05/17 19:04:01,SF_1,142
富凰3.0,300,富凰3.0,shinnan-316,RB750Gr3,6F3906D62267,6.49.13,114.35.141.17,9000,http://114.35.141.17:9000/,6598Y036269,300M/300M,225天 07:24:26,115/05/17 19:04:01,SF_1,300
明水森林,254,明水森林,shinnan-238,RB450Gx4,E1D80F19B3AF,6.49.13,59.127.106.57,9000,http://59.127.106.57:9000/,6Y363699,300M/300M,227天 03:03:38,115/05/17 19:04:01,SF_1,254
棋琴11重奏,34,棋琴11重奏,shinnan-725,RB450Gx4,E1D80F350AB5,7.4.1,59.127.177.112,9000,http://59.127.177.112:9000/,72Y701616,500M/500M,229天 02:45:20,115/05/17 19:04:01,SF_1,34
幸福時光,147,幸福時光,shinnan-249,RB750Gr2,64FB052194C0,6.49.18,59.127.246.66,9000,http://59.127.246.66:9000/,6Y385285,300M/300M,229天 06:53:45,115/05/17 19:04:01,SF_1,147
國泰萊茵,355,國泰萊茵,shinnan-162,RB450Gx4,HFA095HAE94,6.49.18,59.127.246.50,9000,http://59.127.246.50:9000/,6Y092816,300M/300M,233天 07:01:10,115/05/17 19:04:01,SF_1,355
晶悅合一,405,晶悅合一,shinnan-x39,RB450Gx4,HF20945TXT9,6.49.18,59.127.125.223,9000,http://59.127.125.223:9000/,6Y486218,500M/500M,236天 03:07:46,115/05/17 19:04:01,SF_1,405
