building_no,area,current_name,corrected_name,address,raw_address,display_address,active_users,total_households,ip,merge_to_building_no,delete_after_merge,note
B108,高雄,水丰林,水丰林,,,,0,0,,,,line_kaohsiung_seed_cl15c
B109,高雄,棋琴11重奏,棋琴11重奏,,,,0,0,,,,line_kaohsiung_seed_cl15c
B110,高雄,棋琴11重奏,棋琴11重奏,,,,0,0,,,,line_kaohsiung_seed_cl15c
B111,高雄,交響苑,交響苑,,,,0,0,,,,line_kaohsiung_seed_cl15c
B112,高雄,微風京品,微風京品,,,,0,0,,,,line_kaohsiung_seed_cl15c
B113,高雄,鉑悅,鉑悅,,,,0,0,,,,line_kaohsiung_seed_cl15c
B114,高雄,日森大地,日森大地,,,,0,0,,,,line_kaohsiung_seed_cl15c
B115,高雄,皇苑創世紀,皇苑創世紀,,,,0,0,,,,line_kaohsiung_seed_cl15c
B116,高雄,永信國,永信國,,,,0,0,,,,line_kaohsiung_seed_cl15c
B117,高雄,高雄長明街大樓,高雄長明街大樓,,,,0,0,,,,line_kaohsiung_seed_cl15c
B118,高雄,尊峰,尊峰,,,,0,0,,,,line_kaohsiung_seed_cl15c
B119,高雄,溫莎堡,溫莎堡,,,,0,0,,,,line_kaohsiung_seed_cl15c
B120,高雄,瑞祥瑞士區,瑞祥瑞士區,,,,0,0,,,,line_kaohsiung_seed_cl15c
B121,高雄,祥成,祥成,,,,0,0,,,,line_kaohsiung_seed_cl15c
B122,高雄,宇宙國,宇宙國,,,,0,0,,,,line_kaohsiung_seed_cl15c
B123,高雄,橋頭寶,橋頭寶,,,,0,0,,,,line_kaohsiung_seed_cl15c
B124,高雄,Super One,Super One,,,,0,0,,,,line_kaohsiung_seed_cl15c
B125,高雄,國城MRT,國城MRT,,,,0,0,,,,line_kaohsiung_seed_cl15c
B126,高雄,高鐵棧,高鐵棧,,,,0,0,,,,line_kaohsiung_seed_cl15c
B127,高雄,陽光新未來,陽光新未來,,,,0,0,,,,line_kaohsiung_seed_cl15c
B128,高雄,兩廳院,兩廳院,,,,0,0,,,,line_kaohsiung_seed_cl15c
B129,高雄,河畔Happy,河畔Happy,,,,0,0,,,,line_kaohsiung_seed_cl15c
B130,高雄,小王子,小王子,,,,0,0,,,,line_kaohsiung_seed_cl15c
B131,高雄,萬吉樂山,萬吉樂山,,,,0,0,,,,line_kaohsiung_seed_cl15c
B132,高雄,海龍之星,海龍之星,,,,0,0,,,,line_kaohsiung_seed_cl15c
B133,高雄,海森館,海森館,,,,0,0,,,,line_kaohsiung_seed_cl15c
B134,高雄,金賀大樓,金賀大樓,,,,0,0,,,,line_kaohsiung_seed_cl15c
B135,高雄,松崗左岸,松崗左岸,,,,0,0,,,,line_kaohsiung_seed_cl15c
B136,高雄,左岸,左岸,,,,0,0,,,,line_kaohsiung_seed_cl15c
B137,高雄,浪漫滿屋,浪漫滿屋,,,,0,0,,,,line_kaohsiung_seed_cl15c
B138,高雄,J時尚,J時尚,,,,0,0,,,,line_kaohsiung_seed_cl15c
B139,高雄,森霸二期,森霸二期,,,,0,0,,,,line_kaohsiung_seed_cl15c
B140,高雄,明水漾,明水漾,,,,0,0,,,,line_kaohsiung_seed_cl15c
B141,高雄,翠華國宅,翠華國宅,,,,0,0,,,,line_kaohsiung_seed_cl15c
B142,高雄,可麗都,可麗都,,,,0,0,,,,line_kaohsiung_seed_cl15c
B143,高雄,文山.C,文山.C,,,,0,0,,,,line_kaohsiung_seed_cl15c
B144,高雄,芳崗澄品,芳崗澄品,,,,0,0,,,,line_kaohsiung_seed_cl15c
B145,高雄,哲林,哲林,,,,0,0,,,,line_kaohsiung_seed_cl15c
B146,高雄,遠見御踞,遠見御踞,,,,0,0,,,,line_kaohsiung_seed_cl15c
B147,高雄,海森館,海森館,,,,0,0,,,,line_kaohsiung_seed_cl15c
